	Title	Location	Company	Salary	Synopsis
0	Jr. Data Scientist	Fort Eustis, VA 23604	Yorktown Systems Group	Estimated $97.8K - $124K a year	Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.
1	Junior Data Scientist	Hampton, VA	BTAS	Estimated $80.5K - $102K a year	Apply data to develop and provide analytical support to all levels of management.Create, develop, and/or apply existing tools and techniques to conduct data…
2	Data Scientist, TRADOC G-2	Fort Eustis, VA 23604+2 locations	Yorktown Systems Group	Estimated $116K - $147K a year	Training for data stewards, citizen data scientists and novice users of OE data.Experience with a working with and processing data from data streaming source…
3	INTERDISCIPLINARY (GENERAL ENGINEER/OPS RESEARCH ANALYST/MAT...	Naval Base, VA	US Immediate Office of the Chief of Naval...	$55,188 - $123,717 a year	Help This job is open to The public U.S. Citizens, Nationals or those who owe allegiance to the U.S. Clarification from the agency U.S.…
4	SGA Technical - Big Data & Artificial Intelligence	Virginia Beach, VA 23462 (Pembroke area)	PEMCCO	Estimated $84.4K - $107K a year	Build data ingest and data transformation infrastructure.This position help build our Big Data and AI development and production infrastructure and set our…
5	Data Scientist	Hampton, VA 23665 (Langley Air Force Base area)	TestPros	Estimated $116K - $148K a year	Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.
6	Senior Data Analyst	Norfolk, VA	Cydecor, Inc.	Estimated $92.8K - $118K a year	Five years experience in data analysis for complex projects.Identify, develop, and implement formal processes for data/metric collection, analysis, and…
7	Data Scientist	Norfolk, VA	Systems Planning and Analysis, Inc.	Estimated $86.7K - $110K a year	Experience with all steps of the data science lifecycle to include delivering data products to customers.Experience with data science and data science best…
8	Senior Data Analyst	Norfolk, VA	Ironclad Technnology Services	Estimated $88.5K - $112K a year	Five years experience in data analysis for complex projects.Identify, develop, and implement formal processes for data/metric collection, analysis, and…
9	ACC/A2 - Intelligence Data Management Analyst	Langley AFB, VA 23665 (Langley Air Force Base area)	Apogee Engineering, LLC	Estimated $109K - $138K a year	Demonstrated “data wrangling” skills, such as data integration, preparation, and reshaping.Assist staff in formulating and articulating AF-level positions to…
10	Senior Machine Learning Operations Engineer	Remote in Virginia Beach, VA	Harnham	$160,000 - $180,000 a year	Manage all ML engineers, data scientists, and analysts in the Global ML department.Work closely with product teams to ensure the quality of all product data.
11	Machine Learning Engineer	Newport News, VA	CTR Group	$91,274 - $218,935 a year	Analyzes machine process data sets using deep learning techniques to discover potential algorithms.Develops real time and post processing algorithms and…
12	Lead Data Scientist	Norfolk, VA 23513 (Foxhall area)	Huntington Ingalls Industries	$93,341 - $145,000 a year	At least 3 years of experience as a data scientist.Experience querying data from SQL databases.Experience rapidly scaling data storage and processing.
