	Title	Location	Company	Salary	Synopsis
30	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.
31	Senior Data Scientist - International	United States	Indeed	$123,000 - $179,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
32	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	REST APIs, data pipelines and annotation tools.Experience or familiarity with data exploration, analysis and visualization tools.
33	Senior Credit Risk Data Scientist/Machine Learning Engineer...	United States	Strategic Financial Solutions	None	Identify the data sources, manage quality of the data utilized in models.Maintain model data documentation, reproducibility, and reports.
34	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…
35	Senior Data Scientist - Delivery Insights	Remote in Texas	Indeed	$139,000 - $201,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
36	Data & Machine Learning Researcher / Research Engineer	San Antonio, TX 78232	SecureLogix	Estimated $100K - $127K a year	Ability to identify relevant concepts behind patterns observed in data and extract meaningful business insights from them.
37	Data Operations Manager: OmniSales (SQL Database/ Machine Le...	Remote in San Antonio, TX	Humanity	Estimated $94.1K - $119K a year	Uses logic to analyze data and capability to draw conclusions and convey or provide advice or consultation to business leaders.This is not an admin role.
38	Data Plane Engineer	Remote in San Antonio, TX 78247	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.
39	NLP Engineer at Speech to Text Start Up	Remote in San Antonio, TX 78247	Recruiting From Scratch	Estimated $123K - $155K a year	Their AI-powered collaborative note-taking app works across Zoom, Google Meet, and Microsoft Teams to help teams record, transcribe, search and share meeting…
40	Director, Data Science	Remote in United States	Indeed	$253,000 - $367,000 a year	Can fish for data with SQL and Pandas.Can do small data work with Python or R.Can do big data work with Hadoop or Spark.
41	Senior Data Engineer	Remote in United States	SAIC	$125,001 - $150,000 a year	The data engineer also implements data tests for quality and also focuses on improving inefficient tooling and adopting new transformative technologies while…
42	Senior Data Scientist - Ranking Team	Texas	Indeed	$147,000 - $213,000 a year	Proactively research data and identify opportunities in the data to drive the product roadmap.Helps identify ways to improve data quality and analysis.
43	Senior Data Analyst	Remote in Texas	Hire With Jarvis	$120,000 - $170,000 a year	Expertise in SQL and data visualization.Experience working with relational data models and statistical principles.This is a fully remote permanent position.
44	Senior Data Analyst	San Antonio, TX	Convene Technologies	Estimated $93.2K - $118K a year	Person must be an expert at pulling data.Need a person who insists on understanding the business objective and can be a creative problem solver to figure out…
45	Data Scientist	Remote in San Antonio, TX	Circle	Estimated $109K - $138K a year	Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…
46	Senior Data Analyst	San Antonio, TX	Convene Technologies	Estimated $87.8K - $111K a year	Person must be an expert at pulling data.Need a person who insists on understanding the business objective and can be a creative problem solver to figure out…
47	Statistician	San Antonio, TX	T3i, Inc.	Estimated $65.7K - $83.3K a year	Apply data management skills toward organizing, prepping and cleaning data for analysis.Apply professional knowledge of statistics to include but not limited…
48	RESEARCH COMPUTER SCIENTIST - RESEARCH ENGINEER - DATA ACQUI...	San Antonio, TX 78238+8 locations	Southwest Research Institute	Estimated $64.1K - $81.1K a year	Work with a team of data acquisition, instrumentation, and controls experts to perform software development and deployment to support data collection and test…
49	Data Operations Manager: OmniSales (SQL Database/ Machine Le...	Remote in San Antonio, TX	Humanity	Estimated $94.2K - $119K a year	Uses logic to analyze data and capability to draw conclusions and convey or provide advice or consultation to business leaders.This is not an admin role.
50	Senior Analyst Statistical Operations (US Remote CST or EST)	Remote in San Antonio, TX	Humanity	Estimated $83K - $105K a year	Take lead role in recommending and implementing new and improved ways to effectively process data and execute methodologies within Statistical Operations.
51	Data Scientist	Remote in San Antonio, TX	Circle	Estimated $109K - $138K a year	Circle is a global financial technology firm that enables businesses of all sizes to harness the power of digital currency and public blockchains for payments…
52	Senior Data Scientist at Rent-to-Own Startup	Remote in San Antonio, TX 78247	Recruiting From Scratch	$120,000 - $190,000 a year	Who is Recruiting from Scratch: Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware…
53	Senior Data Scientist/Machine Learning Engineer	Remote in San Antonio, TX 78247+4 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Who is Recruiting from Scratch: Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware…
54	Senior Data Analyst	San Antonio, TX	Convene Technologies	Estimated $87.8K - $111K a year	We have the below role open with our direct end customer in San Antonio TX for the long-term contract. Our client is a world leader in manager cloud…
55	Data Plane Engineer	Remote in San Antonio, TX 78247	Recruiting From Scratch	$140,000 - $200,000 a year	Who is Recruiting from Scratch: Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware…
56	Machine Learning Engineer (MLE)	San Antonio, TX 78229	Sandoval Technology Solutions LLC	Estimated $95.3K - $121K a year	Job Summary: At SandTech Solutions we are committed to “Enabling Success” of our client’s missions. As such, we are searching for a qualified Machine…
57	eCommerce Data Marketing Analyst (Sr. Data Analyst II)	San Antonio, TX 78299 (Downtown area)	Shutterfly	$94,700 a year	At Shutterfly, we’re all about people — bringing them together, making them feel welcome, and connecting them to experiences. We make our customers’ memories…
58	Senior Marketing Data Analyst	Remote in San Antonio, TX	Circle	Estimated $87.6K - $111K a year	Circle is a global financial technology firm that enables businesses of all sizes to harness the power of digital currency and public blockchains for payments…
59	NLP Engineer at Speech to Text Start Up	Remote in San Antonio, TX 78247	Recruiting From Scratch	Estimated $123K - $155K a year	Who is Recruiting from Scratch: Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware…
60	Principal ML & NLP Engineer	Remote in San Antonio, TX 78247	Recruiting From Scratch	$140,000 - $200,000 a year	Who is Recruiting from Scratch: Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware…
61	Senior Deep Learning Engineer - San Antonio, TX	San Antonio, TX 78006	Robotic Research Llc	Estimated $111K - $141K a year	Company Overview: Robotic Research has provided vehicle autonomy solutions for over 20 years and is a global leader in self-driving technology. Our AutoDrive…
62	Senior Data Scientist/Machine Learning Engineer	Remote in San Antonio, TX 78247+4 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…
63	Senior Analyst Statistical Operations (US Remote CST or EST)	Remote in San Antonio, TX	Humanity	Estimated $83K - $105K a year	Company Description Jobs for Humanity is dedicated to building an inclusive and just employment ecosystem. Therefore, we have dedicated this job posting to…
64	Kubernetes and Docker Cloud Developer	Remote in San Antonio, TX	Frontier Technology Inc.	Estimated $104K - $131K a year	Overview: FTI is seeking an associate level Kubernetes and Docker Cloud Developer to support various military and DoD customers. This position requires a…
65	Data Scientist - Analytics	Remote in San Antonio, TX	Pandion	Estimated $95.5K - $121K a year	Pandion is a technology-first transportation provider. Tailor-made for e-commerce, Pandion delivers a high performing one-day and two-day delivery experience…
66	Sr. Quality and Data Analyst	San Antonio, TX	University Health	Estimated $70.9K - $89.7K a year	Responsibilities include utilization of mainframe databases for the identification of appropriate study populations; data management, analysis planning and…
67	Business Intelligence Analyst	Remote in San Antonio, TX 78230	ECC	Estimated $60.6K - $76.8K a year	Strong data analysis skills, identify data anomalies and review data trends.Collaborating with team members for the purpose of collecting data and executing…
68	Data & Machine Learning Researcher / Research Engineer	San Antonio, TX 78232	SecureLogix	Estimated $99K - $125K a year	Ability to identify relevant concepts behind patterns observed in data and extract meaningful business insights from them.
69	Director of Corporate Engagement and Strategic Partnerships...	San Antonio, TX 78249	University of Texas at San Antonio	Estimated $45K - $57K a year	With strong leadership buy-in, the role will collaborate across the university on developing, supporting, and growing UTSA's data science and entrepreneurship…
70	Staff Machine Learning Engineer / Scientist	San Antonio, TX 78201 (Jefferson-Monticello Park area)	Applied Research Associates, Inc	Estimated $122K - $154K a year	O Build prototype and production-ready data processing and machine learning pipelines.Strong candidates will have a solid background in using machine learning…
71	Senior IR Programmer/Data Analyst	San Antonio, TX 78209	University of the Incarnate Word	Estimated $68.8K - $87.2K a year	Position also analyzes data quality and data management activities, as well as leads discussion and data discovery for advanced data analysis and reporting.
72	Kubernetes and Docker Cloud Developer	Remote in San Antonio, TX	Frontier Technology Inc.	Estimated $96.4K - $122K a year	Experience working with data stores/databases.FTI is seeking an associate level Kubernetes and Docker Cloud Developer to support various military and DoD…
73	Data Scientist - Analytics	Remote in San Antonio, TX	Pandion	Estimated $93K - $118K a year	One must have strong experience with a variety of data mining/data analysis methods, data tools, building and implementing models, using/creating algorithms and…
74	Senior Data Scientist/Machine Learning Engineer	Remote in San Antonio, TX 78247+2 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…
75	Machine Learning Specialist (Part Time)	San Antonio, TX 78234 (Monte Vista area)	CFD Research Corporation	Estimated $55.6K - $70.4K a year	CFD Research is searching for a Part Time (up to 30 hours per week), highly motivated Artificial Intelligence and Machine Learning Engineer to create machine…
76	ML Engineer at Sleep Startup	Remote in San Antonio, TX 78247+1 location	Recruiting From Scratch	$180,000 - $250,000 a year	Orchestrate large scale machine learning data pipelines (experience with Prefect, Airlflow, Luigi, or similar framework will be helpful).
77	Machine Learning Engineer (MLE)	San Antonio, TX 78229	Sandoval Technology Solutions LLC	Estimated $97.5K - $123K a year	The MLE report to the Chief Developer as they create transformative data security solutions.Create novel data security products, services, and solutions to…
78	Designated Authorizing Official (DAO) Support/Data Scientist...	San Antonio, TX 78201 (Greater Dellview area)	Feditc Llc	Estimated $70.1K - $88.7K a year	Have previous examples of developing Cybersecurity programs, security plans, Risk Analysis, RARs, plan of action and milestones (POA&Ms), A&A, workflow tools…
79	Senior Deep Learning Engineer - San Antonio, TX	San Antonio, TX 78006	Robotic Research Llc	Estimated $124K - $156K a year	The Senior Deep Learning Engineer will be responsible for….Develop novel and efficient real time solutions for a wide variety of perception tasks.
80	Senior Data Analyst	San Antonio, TX	Convene Technologies	Estimated $74K - $93.6K a year	Person must be an expert at pulling data.Need a person who insists on understanding the business objective and can be a creative problem solver to figure out…
81	Senior Marketing Data Analyst	Remote in San Antonio, TX	Circle	Estimated $76.2K - $96.4K a year	Identifying trends in the data to inform ongoing strategy.Collecting and analyzing data from multiple sources to arrive at critical information for the…
