	Title	Location	Company	Salary	Synopsis
0	Data Scientist	Oklahoma City, OK 73116	Warwick Investment Group	Estimated $90.1K - $114K a year	Interface with data scientists to evaluate prototypes and build production-ready software.Experience building data processing pipelines, including API's, ETL…
1	Data Scientist	Oklahoma City, OK 73116	Warwick Investment Group	None	Interface with data scientists to evaluate prototypes and build production-ready software.Experience building data processing pipelines, including API's, ETL…
2	Data Scientist	Oklahoma City, OK 73120	Revenue Management Solutions Llc	Estimated $81.1K - $103K a year	Identifies data patterns and trends.Presents information using data visualization techniques.Extensive background in data mining and statistical analysis.
3	Sr. Data Analyst	Oklahoma City, OK 73105 (Capitol Campus area)	Office of Management and Enterprise Services	Up to $85,000 a year	Has an extensive knowledge of data warehouse/data mart, data quality and master data management concepts.Responsible for data replication, extraction, loading,…
4	Data Scientist	Oklahoma City, OK 73120	Archon Resources	$60,000 - $110,000 a year	Identifies data patterns and trends.Presents information using data visualization techniques.Extensive background in data mining and statistical analysis.
5	Data Scientist	Oklahoma City, OK 73116	Warwick Investment Group	Estimated $83.7K - $106K a year	Interface with data scientists to evaluate prototypes and build production-ready software.Experience building data processing pipelines, including API's, ETL…
