	Title	Location	Company	Salary	Synopsis
32	Communications Manager	Virginia Beach, VA 23452 (Princess Anne Plaza area)	Hazen and Sawyer	Estimated $76.3K - $96.5K a year	Working with graphic designers to visualize information, including data, processes, and physical structures.If you’re skilled at using words and images to make…
33	POST-DOCTORAL RESEARCH SCHOLAR DATA-DRIVEN TURBULENCE	Remote in Hampton, VA 23666	National Institute of Aerospace	Estimated $52.1K - $65.9K a year	The position provides a unique opportunity to contribute to basic data-driven CFD research within the US, as well as to publish in the archival literature.
34	Geomatics Equipment Operator	Virginia Beach, VA 23462 (Thalia area)	VHB	Estimated $29.5K - $37.3K a year	Documents all phases of survey work through clear field notes and data collection.Candidates must have a valid driver’s license and a good driving record.
35	Environmental Technician	Chesapeake, VA 23320 (Greenbrier East area)	Froehling & Robertson, Inc.	Estimated $43.1K - $54.5K a year	Performs basic calculations and computer data entry.Reviews and analyzes historical sources and data to generate reports.0-2 years of related experience.
36	Senior Software Developer	Remote in Virginia Beach, VA 23464	Vectrona, LLC	Estimated $116K - $147K a year	Experience leading multidisciplinary teams in hybrid remote/onsite settings (artists, instructional designers, engineers, data scientists).
37	MIS Reporting Analyst	Newport News, VA 23606	Jefferson Lab	$83,300 - $131,700 a year	Solid database/SQL knowledge with experience developing data structures to support report writing.Use advanced Excel skills to manage and analyze data and…
38	Traffic Analyst	Hybrid remote in Virginia Beach, VA 23462	VHB	Estimated $61.2K - $77.6K a year	Perform traffic data collection, reduction, and analysis.Research and interpret transportation data, community statistics, and demographics.
39	Cryogenic Mechanical Engineer	Newport News, VA 23606	Jefferson Lab	$83,300 - $131,700 a year	Ability to analyze and interpret complex data and systems and develop models.Generally, such programs/activities include any foreign-state-sponsored attempt to…
40	Research Associate	Hampton, VA	Hampton University	Estimated $46.9K - $59.3K a year	Presenting data in lab meetings and at conferences.Research at HUSCRI is focused on defining the mechanisms underlying dermatological disorders, particularly…
41	Chief Data Scientist	Hampton, VA 23665 (Langley Air Force Base area)	TestPros	Estimated $124K - $157K a year	Demonstrate knowledge and ability to deal with challenging data problems such as data mining, feature definition and ML-based data cleaning.
42	Senior Machine Learning Operations Engineer	Remote in Virginia Beach, VA	Harnham	$160,000 - $180,000 a year	Manage all ML engineers, data scientists, and analysts in the Global ML department.Work closely with product teams to ensure the quality of all product data.
43	Machine Learning Engineer	Newport News, VA	Volomagis	$73,000 - $118,000 a year	Ability to analyze machine process data sets using deep learning techniques to discover potential algorithms.Responsible for requirement management process and…
44	DIRECTOR, ADVANCED ANALYTIC DELIVERY - DATA SCIENCE	Virginia Beach, VA	Sentara Healthcare	$47.85 - $66.00 an hour	Automates and hardens complex data processes to remove manual steps and improve efficiency.Analytic Data Engineering & Automation: partners with IT to build…
45	Senior Data Scientist - Delivery Insights	Remote in United States	Indeed	$139,000 - $201,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
46	Director, Data Science	Remote in United States	Indeed	$253,000 - $367,000 a year	Can fish for data with SQL and Pandas.Can do small data work with Python or R.Can do big data work with Hadoop or Spark.
47	Data Science Manager - Search Ranking and Personalization	Remote in United States	Indeed	$149,000 - $217,000 a year	Ensure delivery of data science solutions, set expectations for what can be done and by when, and prioritize incoming projects.
48	SGA Technical - Big Data & Artificial Intelligence	Virginia Beach, VA 23462 (Pembroke area)	PEMCCO	Estimated $84.4K - $107K a year	Build data ingest and data transformation infrastructure.We are seeking someone experienced with Big Data and Artificial Intelligence (AI) including critical…
49	Machine Learning Engineer	Newport News, VA	Food Management Search	$73,000 - $118,000 a year	Ability to analyze machine process data sets using deep learning techniques to discover potential algorithms.Summary of the Machine Learning Engineer:
50	Kubernetes and Docker Cloud Developer	Remote in Norfolk, VA+1 location	Frontier Technology Inc.	Estimated $105K - $133K a year	Experience working with data stores/databases.Candidates must be able to work both independently and together with scientists and other software engineers in…
51	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Direct hire data scientists are hired into positions directly supporting a technical mission office.Passing this examination is a requirement in order to be…
52	Director, Data Science	Remote in United States	Indeed	$253,000 - $367,000 a year	You will build and lead teams of data scientists, statisticians, data engineers, and machine learning engineers.Can fish for data with SQL and Pandas.
53	Data Science Manager - Search Ranking and Personalization	Remote in United States	Indeed	$149,000 - $217,000 a year	Currently, the team has one dedicated Scientist - we anticipate that by the end of the year, the team will have nearly ten scientists from new graduates to…
54	Medical Laboratory Manager	Newport News, VA 23606	Tidewater Physicians Multispecialty Group P C	Estimated $52.9K - $66.9K a year	Ensures out-sourced labs receive correct patient billing data.Ability to evaluate utilization statistics and other data and make department recommendations.
55	Quality Assurance Manager	Newport News, VA 23606	Jefferson Lab	$83,000 - $131,700 a year	Ability to analyze and interpret complex data and systems and develop models.Generally, such programs/activities include any foreign-state-sponsored attempt to…
56	EIC Staff Engineer I	Newport News, VA 23606+1 location	Jefferson Lab	$66,300 - $104,900 a year	Works with data acquisition systems such as VME64x, PCI and VXS.Ability to analyze and interpret complex data and systems and develop models.
57	Space Planner	Hampton, VA+1 location	Cherokee Federal	Estimated $54.2K - $68.6K a year	Collaborates with engineers, scientists, and other expert personnel at higher headquarters, installation organizations, municipal planning offices, sister…
58	Cryogenics Deputy Department Head	Newport News, VA 23606	Jefferson Lab	$126,400 - $199,800 a year	Ability to analyze and interpret complex data and systems and develop models.Generally, such programs/activities include any foreign-state-sponsored attempt to…
59	STARS Accountant	Remote in Newport News, VA 23606	Jefferson Lab	$53,300 - $79,900 a year	This will include reconciling account costing information, and analyzing and interpreting accounting data to advise and make recommendations that may pertain to…
60	Fire Detection Technician	Newport News, VA 23606	Jefferson Lab	$56,700 - $77,100 a year	Utilize Jefferson Lab work planning tools to schedule and coordinate planned inspections and tests and record completed inspections and test data using computer…
61	Survey Technician	Norfolk, VA 23513 (Foxhall area)	Colliers Engineering & Design	Estimated $42K - $53.2K a year	Reduce field notes from field collected data into survey/civil grade base maps.Responsible for performing selected drafting assignments, quickly and accurately…
62	Splunk Engineer/Architect-Norfolk, VA	Remote in Norfolk, VA+2 locations	iSenpai	None	This role requires the ability to design, architect and implement Splunk solutions in support of cybersecurity and IT operations analysts and data scientists.
63	Electrical Engineering Manager - RF Group Leader	Newport News, VA 23606	Jefferson Lab	$126,400 - $199,800 a year	Ability to analyze and interpret complex data and systems and develop models.Generally, such programs/activities include any foreign-state-sponsored attempt to…
64	Postdoctoral Fellow	Newport News, VA 23606	Jefferson Lab	$59,500 - $89,300 a year	Conduct, analyze, and present data.Ability to analyze and interpret complex data and develop models.Collaborate with scientists, engineers, and technicians to…
65	Postdoctoral Fellow	Hampton, VA	Hampton University	Estimated $50.9K - $64.5K a year	Presenting data in lab meetings and at international conferences.Research at HUSCRI is focused on defining the mechanisms underlying dermatological disorders,…
66	Staff Mechanical Engineer III	Newport News, VA 23606	Jefferson Lab	$107,400 - $169,600 a year	Ability to analyze and interpret complex data and systems and develop models.Generally, such programs/activities include any foreign-state-sponsored attempt to…
67	Principal Software Engineer ERP	Remote in Virginia Beach, VA 23450	Cell Signaling Technology	Estimated $121K - $153K a year	Experience mapping data structures and ability to troubleshoot data flow processes.Will be part of an international team whose contributions will have a major…
68	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…
