	Title	Location	Company	Salary	Synopsis
33	Senior Data Scientist - Delivery Insights	Remote in United States	Indeed	$139,000 - $201,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
34	Director, Data Science	Remote in United States	Indeed	$253,000 - $367,000 a year	Can fish for data with SQL and Pandas.Can do small data work with Python or R.Can do big data work with Hadoop or Spark.
35	Mid-level Data Scientist	Charlottesville, VA	Lightstorm Research	Estimated $87.4K - $111K a year	Develop new data manipulation and visualization tools.Experience developing data visualization and exploitation tools.Expertise with Matlab and Python.
36	Senior Data Scientist	Charlottesville, VA 22911	Prescient Edge Federal	Estimated $111K - $140K a year	Utilize skills in data visualization and graphical applications, including Microsoft Office (Power BI) and Tableau; major data science languages, such as R and…
37	Mid Data Scientist	Charlottesville, VA 22911+1 location	Prescient Edge Federal	Estimated $101K - $129K a year	Utilize skills in data visualization and graphical applications, including Microsoft Office (Power BI) and Tableau; major data science languages, such as R and…
38	Data Scientist - Mid	Charlottesville, VA+1 location	Celestar Corporation	Estimated $116K - $147K a year	Demonstrates knowledge of data transfer requirements for moving data between classified and unclassified computer systems.
39	Data Scientist (Multiple Locations) - Top Secret with SCI El...	Charlottesville, VA	Logistics Management Institute	Estimated $120K - $152K a year	Advanced data science experience required.Demonstrated proficiency with R or Python, and SQL to manipulate data and draw insights from large and small data…
40	Senior Data Scientist	Charlottesville, VA	Lightstorm Research	Estimated $115K - $145K a year	Develop new data manipulation and visualization tools.Experience developing data visualization and exploitation tools.
41	9070 - Intelligence Data Scientist*	Charlottesville, VA 22911	Integral	Estimated $93.1K - $118K a year	Should be skilled in data visualization and use of graphical applications, including Microsoft Office (Power BI) and Tableau; major data science languages, such…
42	Data Scientist - Mid	Charlottesville, VA+1 location	Celestar Corporation	Estimated $113K - $143K a year	Demonstrates knowledge of data transfer requirements for moving data between classified and unclassified computer systems.
43	Data Scientist (Multiple Locations) - Top Secret with SCI El...	Charlottesville, VA	Logistics Management Institute	Estimated $112K - $142K a year	Advanced data science experience required.Demonstrated proficiency with R or Python, and SQL to manipulate data and draw insights from large and small data…
44	Mid-level Data Scientist	Charlottesville, VA	Lightstorm Research	Estimated $80.4K - $102K a year	Develop new data manipulation and visualization tools.Experience developing data visualization and exploitation tools.Expertise with Matlab and Python.
45	Mid Data Scientist	Charlottesville, VA 22911+1 location	Prescient Edge Federal	Estimated $99.6K - $126K a year	Utilize skills in data visualization and graphical applications, including Microsoft Office (Power BI) and Tableau; major data science languages, such as R and…
46	Senior Data Scientist	Charlottesville, VA 22911	Prescient Edge Federal	Estimated $110K - $139K a year	Utilize skills in data visualization and graphical applications, including Microsoft Office (Power BI) and Tableau; major data science languages, such as R and…
47	Senior Data Scientist	Charlottesville, VA	Lightstorm Research	Estimated $112K - $141K a year	Develop new data manipulation and visualization tools.Experience developing data visualization and exploitation tools.
48	Data and Machine Learning Specialist	Charlottesville, VA 22910	Catalytic Data Science	Estimated $100K - $127K a year	A self-motivated data scientist with machine learning (ML) experience.Extensive experience applying ML techniques to large scale genomics and/or high…
49	Senior Data Scientist	Charlottesville, VA 22903	Luna Labs USA LLC	Estimated $125K - $158K a year	Teach, Coach, and Mentor younger data scientists, data engineers, and software engineers.You are a second level data scientist with all the requisite skills in…
50	Data Scientist - Defense & Intelligence	Charlottesville, VA 22903 (Downtown area)	Elder Research Inc	Estimated $106K - $135K a year	Knowledge and experience in data wrangling, advanced statistical data analysis and modeling.3+ years of experience in a data science role.
51	Principal Machine Learning Engineer	Remote in Charlottesville, VA 22902	SafeGuard Cyber	Estimated $143K - $181K a year	By securing new communication channels, our customers can focus on driving growth and revenue.We are looking for an experienced Principal Machine Learning…
52	Software Engineer Machine Learning / Signal Processing (All...	Madison, VA 22727	ARiA	Estimated $91.2K - $115K a year	Using deep learning to understand the relevant physical features in acoustic scattering data for use in a project on remediating underwater sites contaminated…
